Model,Accuracy,Precision,Recall/Sensitivity,Specificity,F1-score,ROC-AUC,True Negative,False Positive,False Negative,True Positive
XGBoost,0.8493408662900188,0.875,0.9171122994652406,0.6878980891719745,0.8955613577023499,0.9078051023536224,108,49,31,343
LightGBM,0.8267419962335216,0.8960674157303371,0.8529411764705882,0.7643312101910829,0.873972602739726,0.9049610000340611,120,37,55,319
Logistic Regression,0.8022598870056498,0.9063444108761329,0.8021390374331551,0.802547770700637,0.851063829787234,0.8933291324636398,126,31,74,300
Random Forest,0.8286252354048964,0.8985915492957747,0.8529411764705882,0.7707006369426752,0.8751714677640604,0.8931247658298987,121,36,55,319
